time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
session,MDMA,muscle tension,6,57.0402,113,0.5047805309734513,50.47805309734513,row-wise preference: absolute_events else events
session,MDMA,feeling cold,1,4,8,0.5,50,row-wise preference: absolute_events else events
session,MDMA,sleep disorder,8,99.4813,203,0.49005566502463055,49.005566502463054,row-wise preference: absolute_events else events
session,MDMA,autonomic,4,55.0406,114,0.48281228070175436,48.28122807017544,row-wise preference: absolute_events else events
session,MDMA,headache,8,80.05539999999999,173,0.4627479768786127,46.274797687861266,row-wise preference: absolute_events else events
session,MDMA,lack of appetite,6,69.1322,150,0.4608813333333333,46.08813333333333,row-wise preference: absolute_events else events
session,MDMA,suicidality,2,40.025999999999996,99,0.4043030303030303,40.43030303030303,row-wise preference: absolute_events else events
session,MDMA,anxiety,10,93.979,239,0.3932175732217573,39.321757322175735,row-wise preference: absolute_events else events
session,MDMA,dizziness,5,49.5342,131,0.3781236641221374,37.81236641221374,row-wise preference: absolute_events else events
session,MDMA,fatigue,8,60.37819999999999,169,0.35726745562130174,35.726745562130176,row-wise preference: absolute_events else events
session,MDMA,jaw tension,9,69.48310000000001,222,0.31298693693693697,31.298693693693696,row-wise preference: absolute_events else events
session,MDMA,nausea,6,40.88949999999999,142,0.2879542253521126,28.795422535211262,row-wise preference: absolute_events else events
session,MDMA,depressed mood,1,2,8,0.25,25,row-wise preference: absolute_events else events
session,MDMA,thirst,1,2,8,0.25,25,row-wise preference: absolute_events else events
session,MDMA,restlessness,7,46.6442,187,0.24943422459893047,24.943422459893046,row-wise preference: absolute_events else events
session,MDMA,decreased concentration,4,19.486,79,0.24665822784810126,24.665822784810125,row-wise preference: absolute_events else events
session,MDMA,perspiration,5,28.010400000000004,128,0.21883125000000003,21.883125000000003,row-wise preference: absolute_events else events
session,MDMA,depression,6,29.1199,183,0.15912513661202188,15.912513661202187,row-wise preference: absolute_events else events
