time_window,molecule,study_id,ae_term,n_arms,events_total,n_total,rate,rate_pct
follow_up,MDMA,Oehen2013,jaw tension,1,0.16,43,0.0037209302325581397,0.37209302325581395
follow_up,MDMA,Oehen2013,lack of appetite,1,0.16,43,0.0037209302325581397,0.37209302325581395
follow_up,MDMA,Oehen2013,nausea,1,0.12,43,0.0027906976744186047,0.27906976744186046
follow_up,MDMA,Oehen2013,ophthalmological,1,0.02,43,4.6511627906976747e-4,0.046511627906976744
follow_up,MDMA,Oehen2013,perspiration,1,0.02,43,4.6511627906976747e-4,0.046511627906976744
follow_up,MDMA,Oehen2013,restlessness,1,0.14,43,0.0032558139534883722,0.32558139534883723
follow_up,MDMA,Oehen2013,rumination,1,0.21,43,0.004883720930232558,0.4883720930232558
follow_up,MDMA,Oehen2013,sleep disorder,1,0.61,43,0.014186046511627907,1.4186046511627908
follow_up,MDMA,Oehen2013,weakness,1,0.12,43,0.0027906976744186047,0.27906976744186046
follow_up,MDMA,Oehen2013,xerostomia,1,0.12,43,0.0027906976744186047,0.27906976744186046
follow_up,PSILOCYBIN,Mertens2026,abdominal pain,1,0.04375,160,2.7343749999999997e-4,0.027343749999999997
follow_up,PSILOCYBIN,Mertens2026,abnormal dreams,1,0.0625,160,3.90625e-4,0.0390625
follow_up,PSILOCYBIN,Mertens2026,anxiety,1,0.06875,160,4.2968750000000006e-4,0.04296875000000001
follow_up,PSILOCYBIN,Mertens2026,depression,1,0.05,160,3.125e-4,0.03125
follow_up,PSILOCYBIN,Mertens2026,diarrhea,1,0.03125,160,1.953125e-4,0.01953125
follow_up,PSILOCYBIN,Mertens2026,dyspepsia,1,0.0125,160,7.8125e-5,0.0078125
follow_up,PSILOCYBIN,Mertens2026,fatigue,1,0.08125,160,5.078125e-4,0.05078125
follow_up,PSILOCYBIN,Mertens2026,hallucinogen persisting perception disorder,1,0.01,160,6.25e-5,0.00625
follow_up,PSILOCYBIN,Mertens2026,headache,1,0.375,160,0.00234375,0.234375
follow_up,PSILOCYBIN,Mertens2026,insomnia,1,0.025,160,1.5625e-4,0.015625
follow_up,PSILOCYBIN,Mertens2026,nasopharyngitis,1,0.04375,160,2.7343749999999997e-4,0.027343749999999997
follow_up,PSILOCYBIN,Mertens2026,nausea,1,0.0375,160,2.34375e-4,0.0234375
follow_up,PSILOCYBIN,Mertens2026,panic reaction,1,0.05625,160,3.515625e-4,0.03515625
follow_up,PSILOCYBIN,Mertens2026,physical pain,1,0.04375,160,2.7343749999999997e-4,0.027343749999999997
follow_up,PSILOCYBIN,Mertens2026,suicidal ideation,1,0.01,160,6.25e-5,0.00625
overall,LSD,Robison2025,ADHD_exacerbation,1,0.025,40,6.25e-4,0.0625
overall,LSD,Robison2025,anxiety_worsening,1,0.025,39,6.41025641025641e-4,0.0641025641025641
overall,LSD,Robison2025,depression,1,0.025,39,6.41025641025641e-4,0.0641025641025641
overall,LSD,Robison2025,depression_worsening,1,0.025,39,6.41025641025641e-4,0.0641025641025641
overall,LSD,Robison2025,feeling_intoxicated,2,0.05,79,6.329113924050633e-4,0.06329113924050633
session,AYAHUASCA,Palhano-Fontes2019,anxiety,1,0.5,14,0.03571428571428571,3.571428571428571
session,AYAHUASCA,Palhano-Fontes2019,headache,1,0.428571428571428,14,0.03061224489795914,3.061224489795914
session,AYAHUASCA,Palhano-Fontes2019,nausea,1,0.714285714285714,14,0.051020408163265286,5.102040816326529
session,AYAHUASCA,Palhano-Fontes2019,restlessness,1,0.5,14,0.03571428571428571,3.571428571428571
session,AYAHUASCA,Palhano-Fontes2019,vomiting,1,0.571428571428571,14,0.040816326530612214,4.081632653061221
session,AYAHUASCA,dosSantos2021,anxiety,1,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,confusion,1,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,diarrhea,1,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,dissociation,1,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,distress,1,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,drowsiness,1,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,headache,1,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,hypertension,1,0.444444444444444,9,0.049382716049382665,4.938271604938267
session,AYAHUASCA,dosSantos2021,nausea,1,0.444444444444444,9,0.049382716049382665,4.938271604938267
session,AYAHUASCA,dosSantos2021,tachycardia,1,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,vomiting,1,0.333333333333333,9,0.037037037037037,3.7037037037037
session,LSD,Gasser2014,affect liability,1,0.181818181818182,11,0.016528925619834725,1.6528925619834725
session,LSD,Gasser2014,altered perception of music,1,0,11,0,0
session,LSD,Gasser2014,anemia,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,anger,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,anxiety,1,0.272727272727273,11,0.02479338842975209,2.479338842975209
session,LSD,Gasser2014,attention disturbance,1,0,11,0,0
session,LSD,Gasser2014,bradyphrenia,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,depersonalization,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,derealization,1,0.181818181818182,11,0.016528925619834725,1.6528925619834725
session,LSD,Gasser2014,emotional distress,1,0.454545454545454,11,0.04132231404958672,4.132231404958672
session,LSD,Gasser2014,fatigue,1,0,11,0,0
session,LSD,Gasser2014,feeling abnormal,1,0.545454545454545,11,0.049586776859504085,4.958677685950408
session,LSD,Gasser2014,feeling of relaxation,1,0,11,0,0
session,LSD,Gasser2014,femur fracture,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,hallucination,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,headache,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,illusions,1,0.727272727272727,11,0.06611570247933882,6.611570247933882
session,LSD,Gasser2014,impaired gait,1,0.363636363636364,11,0.03305785123966945,3.305785123966945
session,LSD,Gasser2014,menorrhagia,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,mydriasis,1,0.272727272727273,11,0.02479338842975209,2.479338842975209
session,LSD,Gasser2014,neoplasm progression,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,palmar-plantar erythrodysaesthesia syndrome,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,perseveration,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,perspiration,1,0.181818181818182,11,0.016528925619834725,1.6528925619834725
session,LSD,Gasser2014,pneumonia,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,pruritus,1,0,11,0,0
session,LSD,Gasser2014,skin lesion,1,0,11,0,0
session,LSD,Gasser2014,tachyphrenia,1,0,11,0,0
session,LSD,Gasser2014,temperature perception disturbances,1,0.636363636363636,11,0.057851239669421455,5.7851239669421455
session,LSD,Gasser2014,thinking abnormal,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,time perception altered,1,0.545454545454545,11,0.049586776859504085,4.958677685950408
session,LSD,Hollister1969,confusion,1,0.027027027027027,37,7.304601899196486e-4,0.07304601899196486
session,LSD,Hollister1969,generalized tonic–clonic seizure,1,0.027027027027027,37,7.304601899196486e-4,0.07304601899196486
session,LSD,Hollister1969,impaired gait,1,0.0540540540540541,37,0.0014609203798392999,0.14609203798393
session,LSD,Hollister1969,restlessness,1,0.0540540540540541,37,0.0014609203798392999,0.14609203798393
session,LSD,Holze2023,anxiety,1,0.0952380952380952,42,0.002267573696145124,0.2267573696145124
session,LSD,Holze2023,headache,1,0.0238095238095238,42,5.66893424036281e-4,0.0566893424036281
session,LSD,Holze2023,nausea,1,0.0952380952380952,42,0.002267573696145124,0.2267573696145124
session,LSD,Mueller2025,chills,1,0.172413793103448,29,0.0059453032104637244,0.5945303210463725
session,LSD,Mueller2025,dizziness,1,0.689655172413794,29,0.023781212841854967,2.3781212841854966
session,LSD,Mueller2025,fatigue,1,0.172413793103448,29,0.0059453032104637244,0.5945303210463725
session,LSD,Mueller2025,headache,1,0.482758620689656,29,0.016646848989298482,1.6646848989298482
session,LSD,Mueller2025,impaired gait,1,0.758620689655173,29,0.02615933412604045,2.6159334126040448
session,LSD,Mueller2025,sleep disorder,1,0.310344827586207,29,0.010701545778834724,1.0701545778834725
session,LSD,Robison2025,Balance_disorder,4,0.225,159,0.0014150943396226416,0.14150943396226418
session,LSD,Robison2025,Fatigue,4,0.351,159,0.0022075471698113206,0.22075471698113205
session,LSD,Robison2025,Mydriasis,4,0.501,159,0.003150943396226415,0.3150943396226415
session,LSD,Robison2025,Tremor,4,0.325,159,0.0020440251572327044,0.20440251572327045
session,LSD,Robison2025,Vomiting,4,0.22499999999999998,159,0.0014150943396226414,0.14150943396226415
session,LSD,Robison2025,altered state of consciousness,4,0.176,159,0.0011069182389937106,0.11069182389937106
session,LSD,Robison2025,anxiety,4,0.326,159,0.002050314465408805,0.20503144654088049
session,LSD,Robison2025,attention disturbance,4,0.151,159,9.496855345911949e-4,0.09496855345911949
session,LSD,Robison2025,depressed mood,4,0.175,159,0.00110062893081761,0.11006289308176101
session,LSD,Robison2025,dizziness,4,0.327,159,0.002056603773584906,0.2056603773584906
session,LSD,Robison2025,emotional distress,4,0.151,159,9.496855345911949e-4,0.09496855345911949
session,LSD,Robison2025,euphoric mood,4,0.601,159,0.003779874213836478,0.37798742138364777
session,LSD,Robison2025,feeling abnormal,4,0.076,159,4.779874213836478e-4,0.047798742138364776
session,LSD,Robison2025,hallucination visual,4,0.754,159,0.004742138364779875,0.4742138364779875
session,LSD,Robison2025,headache,4,0.828,159,0.00520754716981132,0.5207547169811321
