time_window,molecule,study_id,arm_id,group,arm_type,dose_mg,ae_term,events_total,n_total,rate,rate_pct
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,time perception altered,0.545454545454545,11,0.049586776859504085,4.958677685950408
session,LSD,Hollister1969,high_dose,high_dose,active,0.6,confusion,0.027027027027027,37,7.304601899196486e-4,0.07304601899196486
session,LSD,Hollister1969,high_dose,high_dose,active,0.6,generalized tonic–clonic seizure,0.027027027027027,37,7.304601899196486e-4,0.07304601899196486
session,LSD,Hollister1969,high_dose,high_dose,active,0.6,impaired gait,0.0540540540540541,37,0.0014609203798392999,0.14609203798393
session,LSD,Hollister1969,high_dose,high_dose,active,0.6,restlessness,0.0540540540540541,37,0.0014609203798392999,0.14609203798393
session,LSD,Holze2023,high_dose,high_dose,active,0.2,anxiety,0.0952380952380952,42,0.002267573696145124,0.2267573696145124
session,LSD,Holze2023,high_dose,high_dose,active,0.2,headache,0.0238095238095238,42,5.66893424036281e-4,0.0566893424036281
session,LSD,Holze2023,high_dose,high_dose,active,0.2,nausea,0.0952380952380952,42,0.002267573696145124,0.2267573696145124
session,LSD,Mueller2025,high_dose,high_dose,active,0.1,chills,0.172413793103448,29,0.0059453032104637244,0.5945303210463725
session,LSD,Mueller2025,high_dose,high_dose,active,0.1,dizziness,0.689655172413794,29,0.023781212841854967,2.3781212841854966
session,LSD,Mueller2025,high_dose,high_dose,active,0.1,fatigue,0.172413793103448,29,0.0059453032104637244,0.5945303210463725
session,LSD,Mueller2025,high_dose,high_dose,active,0.1,headache,0.482758620689656,29,0.016646848989298482,1.6646848989298482
session,LSD,Mueller2025,high_dose,high_dose,active,0.1,impaired gait,0.758620689655173,29,0.02615933412604045,2.6159334126040448
session,LSD,Mueller2025,high_dose,high_dose,active,0.1,sleep disorder,0.310344827586207,29,0.010701545778834724,1.0701545778834725
session,LSD,Robison2025,100ug,100ug,active,100,Balance_disorder,0.075,40,0.001875,0.1875
session,LSD,Robison2025,100ug,100ug,active,100,Fatigue,0.075,40,0.001875,0.1875
session,LSD,Robison2025,100ug,100ug,active,100,Mydriasis,0.2,40,0.005,0.5
session,LSD,Robison2025,100ug,100ug,active,100,Tremor,0.05,40,0.00125,0.125
session,LSD,Robison2025,100ug,100ug,active,100,Vomiting,0.05,40,0.00125,0.125
session,LSD,Robison2025,100ug,100ug,active,100,altered state of consciousness,0.125,40,0.003125,0.3125
session,LSD,Robison2025,100ug,100ug,active,100,anxiety,0.1,40,0.0025,0.25
